"Question","Answer","Source"
"i want to withdraw my fixed deposit from a branch other than the original","Yes.You need to produce the original Fixed Deposit receipt.However, withdrawing the money from the branch deposit was made will be much quicker","19062018_TonalityChangesDone.xlsx"
"Can I withdraw my fixed deposit money from any branch?","Yes.You need to produce the original Fixed Deposit receipt.However, withdrawing the money from the branch deposit was made will be much quicker","19062018_TonalityChangesDone.xlsx"
"can only sampath bank customers enjoy gift","Of course not. The sender should  have the debit account at Sampath Bank and Recipient can have the credit account either in Sampath Bank or any other Bank involved in CEFT (Common Electronic Fund Transfer)","igift_QnA_22062018.xlsx"
"Can only Sampath Bank customers enjoy igift","Of course not. The sender should  have the debit account at Sampath Bank and Recipient can have the credit account either in Sampath Bank or any other Bank involved in CEFT (Common Electronic Fund Transfer)","igift_QnA_22062018.xlsx"
"can receiver get notification to egift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"can receiver get notification to gift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"can receiver get notification to igift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how can i identify the receiver get to know about egift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how can i identify the receiver get to know about gift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"How can my recipient get to know that i have sent an egift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how can my recipient get to know that i have sent an gift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"How can my Recipient get to know that I have sent an igift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how does the receiver get to know about egift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how does the receiver get to know about gift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"How does the receiver get to know about igift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"how can i identify the receiver get to know about igift","Recipient will receive a notification (if igift app is already downloaded) or an SMS to his/her mobile phone, notifying them of the gift and prompting the app installation to proceed.","igift_QnA_22062018.xlsx"
"can we chat sinhala?","I'm still learning","Editorial"
"can we speak shinhala language","I'm still learning","Editorial"
"sinhala katha karanna puluwanda?","I'm still learning","Editorial"
"Can you help me?","Of course. Please tell me what you need help with.","19062018_TonalityChangesDone.xlsx"
"Can you speak Sinhala?","I am still learning the language.","19062018_TonalityChangesDone.xlsx"
"card benifit","1. Sampath Cards levy only 04 charges - While other credit cards could burden you with as many as 28 charges, Sampath Cards levy only 04 charges, which include Card Fees, Cash Advance Fee, Late Payment Fee and Interest. Moreover, Sampath Infinite and Signature cardholders are free of the Late Payment Fee, which means they are levied only 3 charges in all.\n\n\n2. No fuel surcharge - Unlike other cards, there is absolutely no fuel surcharge when you purchase fuel with your Sampath Credit Card. This means that you pay the same amount as you would if you pay cash.\n\n\n3. Free Overseas Travel Insurance - Sampath Bank offers Free Overseas Travel Insurance to cardholders even if they do not purchase air tickets with their Credit Cards. Currently Sampath Bank is the only bank to offer this super value feature\n\n\n4. Select your own payment due date -As a Sampath credit cardholder you are also able to select your own payment due date. This makes things so convenient.\n\n\n5. Supplementary cards, you can also decide on their limits. -If you avail yourself of the facility of obtaining Supplementary cards, you can also decide on their limits. This way you are fully in control of spending and costs incurred.\n\n\n6. 0% interest payment plans.-Furthermore, you enjoy truly 0% interest payment plans. You are offered the option of choosing a 12 month, 24 month or 36 month plan to suit your needs. What's more, in many instances Sampath Cards offers to waive off the last installment as an additional reward.\n\n\n7. Free SMS Alertz-Free SMS Alertz keeps you up to date on all purchases made, whilst alerting you about possible theft.\n\n\n8. Free eStatement facility-For those of you who are constantly on the move with busy schedules, you have access to a free eStatement facility for your convenience. This allows you to follow up on your statements at anytime from anywhere.\n\n\n9.iconic offers - As a Sampath Credit Cardholder you can avail yourself of iconic offers ranging from Feast Fest and Feast Free dining to Stay For Free deals at leading hotels, U Shop V Drop discounts at a multitude of retail stores, Holidays on Sale offers for overseas trips, Super Market discounts, Entertainment offers and many other exciting features.","CreditCard&GeneralQnA.xlsx"
"details of sampath credit cards?","1. Sampath Cards levy only 04 charges - While other credit cards could burden you with as many as 28 charges, Sampath Cards levy only 04 charges, which include Card Fees, Cash Advance Fee, Late Payment Fee and Interest. Moreover, Sampath Infinite and Signature cardholders are free of the Late Payment Fee, which means they are levied only 3 charges in all.\n\n\n2. No fuel surcharge - Unlike other cards, there is absolutely no fuel surcharge when you purchase fuel with your Sampath Credit Card. This means that you pay the same amount as you would if you pay cash.\n\n\n3. Free Overseas Travel Insurance - Sampath Bank offers Free Overseas Travel Insurance to cardholders even if they do not purchase air tickets with their Credit Cards. Currently Sampath Bank is the only bank to offer this super value feature\n\n\n4. Select your own payment due date -As a Sampath credit cardholder you are also able to select your own payment due date. This makes things so convenient.\n\n\n5. Supplementary cards, you can also decide on their limits. -If you avail yourself of the facility of obtaining Supplementary cards, you can also decide on their limits. This way you are fully in control of spending and costs incurred.\n\n\n6. 0% interest payment plans.-Furthermore, you enjoy truly 0% interest payment plans. You are offered the option of choosing a 12 month, 24 month or 36 month plan to suit your needs. What's more, in many instances Sampath Cards offers to waive off the last installment as an additional reward.\n\n\n7. Free SMS Alertz-Free SMS Alertz keeps you up to date on all purchases made, whilst alerting you about possible theft.\n\n\n8. Free eStatement facility-For those of you who are constantly on the move with busy schedules, you have access to a free eStatement facility for your convenience. This allows you to follow up on your statements at anytime from anywhere.\n\n\n9.iconic offers - As a Sampath Credit Cardholder you can avail yourself of iconic offers ranging from Feast Fest and Feast Free dining to Stay For Free deals at leading hotels, U Shop V Drop discounts at a multitude of retail stores, Holidays on Sale offers for overseas trips, Super Market discounts, Entertainment offers and many other exciting features.","CreditCard&GeneralQnA.xlsx"
"main features of sampath credit cards","1. Sampath Cards levy only 04 charges - While other credit cards could burden you with as many as 28 charges, Sampath Cards levy only 04 charges, which include Card Fees, Cash Advance Fee, Late Payment Fee and Interest. Moreover, Sampath Infinite and Signature cardholders are free of the Late Payment Fee, which means they are levied only 3 charges in all.\n\n\n2. No fuel surcharge - Unlike other cards, there is absolutely no fuel surcharge when you purchase fuel with your Sampath Credit Card. This means that you pay the same amount as you would if you pay cash.\n\n\n3. Free Overseas Travel Insurance - Sampath Bank offers Free Overseas Travel Insurance to cardholders even if they do not purchase air tickets with their Credit Cards. Currently Sampath Bank is the only bank to offer this super value feature\n\n\n4. Select your own payment due date -As a Sampath credit cardholder you are also able to select your own payment due date. This makes things so convenient.\n\n\n5. Supplementary cards, you can also decide on their limits. -If you avail yourself of the facility of obtaining Supplementary cards, you can also decide on their limits. This way you are fully in control of spending and costs incurred.\n\n\n6. 0% interest payment plans.-Furthermore, you enjoy truly 0% interest payment plans. You are offered the option of choosing a 12 month, 24 month or 36 month plan to suit your needs. What's more, in many instances Sampath Cards offers to waive off the last installment as an additional reward.\n\n\n7. Free SMS Alertz-Free SMS Alertz keeps you up to date on all purchases made, whilst alerting you about possible theft.\n\n\n8. Free eStatement facility-For those of you who are constantly on the move with busy schedules, you have access to a free eStatement facility for your convenience. This allows you to follow up on your statements at anytime from anywhere.\n\n\n9.iconic offers - As a Sampath Credit Cardholder you can avail yourself of iconic offers ranging from Feast Fest and Feast Free dining to Stay For Free deals at leading hotels, U Shop V Drop discounts at a multitude of retail stores, Holidays on Sale offers for overseas trips, Super Market discounts, Entertainment offers and many other exciting features.","CreditCard&GeneralQnA.xlsx"
"card transactions","Sampath Bank offers the following ways to monitor your transactions: E-Statement, Vishwa Online, Customer Service Phone Support, and Free SMS alert. ","19062018_TonalityChangesDone.xlsx"
"how can I view my credit card transaction","Sampath Bank offers the following ways to monitor your transactions: E-Statement, Vishwa Online, Customer Service Phone Support, and Free SMS alert. ","19062018_TonalityChangesDone.xlsx"
"How can I view/monitor my transactions?","Sampath Bank offers the following ways to monitor your transactions: E-Statement, Vishwa Online, Customer Service Phone Support, and Free SMS alert. ","19062018_TonalityChangesDone.xlsx"
"clarify a transaction","Transaction clarifications can be viewed online on Sampath Bank Vishwa, our online banking facility. Alternatively, you can call our Customer Care Centre on 11 2 303 050. You can also visit your nearest Sampath Bank Branch. ","19062018_TonalityChangesDone.xlsx"
"How do I clarify a transaction on my Sampath Credit Card?","Transaction clarifications can be viewed online on Sampath Bank Vishwa, our online banking facility. Alternatively, you can call our Customer Care Centre on 11 2 303 050. You can also visit your nearest Sampath Bank Branch. ","19062018_TonalityChangesDone.xlsx"
"transaction clarification","Transaction clarifications can be viewed online on Sampath Bank Vishwa, our online banking facility. Alternatively, you can call our Customer Care Centre on 11 2 303 050. You can also visit your nearest Sampath Bank Branch. ","19062018_TonalityChangesDone.xlsx"
"convert dollars","Please visit this link (https://www.sampath.lk/en/exchange-rates) to get the updated exchange rate.","19062018_TonalityChangesDone.xlsx"
"dollars to sri lankan rupees","Please visit this link (https://www.sampath.lk/en/exchange-rates) to get the updated exchange rate.","19062018_TonalityChangesDone.xlsx"
"credit card expire how can i get new one?","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"How can I renew my Sampath Credit Card ?","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"my existing sampath credit card was expire,how can i get new card?","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"my sampath credit card was expire and how can i get a new card?","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"I have an issue with connecting my debit card to the paypal account… when I am trying to connect it to the paypal account it shows that card was expired","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"web card got expired ","You will automatically receive a new Sampath Credit Card prior to the expiry of your existing Sampath Credit Card","https://www.sampath.lk/en/credit-cards-faq"
"credit card statements","Credit card statements can be accessed through Sampath Vishwa Internet Banking portal. Customers can also request the statements by post or e statements.","CreditCard&GeneralQnA.xlsx"
"how can i get my sampath credit card statements","Credit card statements can be accessed through Sampath Vishwa Internet Banking portal. Customers can also request the statements by post or e statements.","CreditCard&GeneralQnA.xlsx"
"credit cards interest rates","https://www.sampath.lk/sampath_files/sccFTP/cardcentre_charges.pdf","Editorial"
"details of credit cards interest rates","https://www.sampath.lk/sampath_files/sccFTP/cardcentre_charges.pdf","Editorial"
"summery of the credit cards interest rates","https://www.sampath.lk/sampath_files/sccFTP/cardcentre_charges.pdf","Editorial"
"tell me the interest rates of the Credit cards","https://www.sampath.lk/sampath_files/sccFTP/cardcentre_charges.pdf","Editorial"
"what are the interest rates credit cards","https://www.sampath.lk/sampath_files/sccFTP/cardcentre_charges.pdf","Editorial"
"CVC number?","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVC is for MasterCard.","Editorial"
"may i know what is the CVC number?","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVC is for MasterCard.","Editorial"
"tell me the CVC number details","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVC is for MasterCard.","Editorial"
"how can i identify my CVC number?","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVC is for MasterCard.","Editorial"
"CVV number?","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVV is for Visa Card.","Editorial"
"how can i identify my CVV number","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVV is for Visa Card.","Editorial"
"may i know what is the CVV number","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVV is for Visa Card.","Editorial"
"tell me the CVV number details?","The last 3 digits on the signature panel on the reverse of your Sampath Credit Card. CVV is for Visa Card.","Editorial"
"details of HIT saver account?","You have to make a minimum initial cash deposit of Rs.50,000/- to open a Hit Saver account","Accounta_17102017.xlsx"
"details of latest products","https://www.sampath.lk/en/news/latest","Editorial"
"latest products","https://www.sampath.lk/en/news/latest","Editorial"
"latest products list","https://www.sampath.lk/en/news/latest","Editorial"
"list of products","https://www.sampath.lk/en/news/latest","Editorial"
"sampath bank latest products list","https://www.sampath.lk/en/news/latest","Editorial"
"details of leasing facility","Please visit :-\n\nhttps://www.sampath.lk/en/personal/leasing","Editorial"
"send me the details of personal leasing facility","Please visit :-\n\nhttps://www.sampath.lk/en/personal/leasing","Editorial"
"details of Pin number?","PINs are becoming as prevalent as passwords and are no longer limited only to automatic teller machines. Some POS machines may require entering a PIN as an added safeguard when purchasing. Keeping your PINs a secret may mean the difference between having and having nothing. Don't write PINs down, carry them in your wallet or save them on the computer. Do not email passwords or PINs. Memorize both instead","Editorial"
"let me know what is the secret of the Pin number?","PINs are becoming as prevalent as passwords and are no longer limited only to automatic teller machines. Some POS machines may require entering a PIN as an added safeguard when purchasing. Keeping your PINs a secret may mean the difference between having and having nothing. Don't write PINs down, carry them in your wallet or save them on the computer. Do not email passwords or PINs. Memorize both instead","Editorial"
"details of special senior citizen account","Rs. 25,000/- is the minimum amount to open Special Senior Citizen Fixed Deposit","Accounta_17102017.xlsx"
"special senior citizen account","Rs. 25,000/- is the minimum amount to open Special Senior Citizen Fixed Deposit","Accounta_17102017.xlsx"
"What is the difference between igift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"difference between gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"difference between i gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"difference between igift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"difference between i-gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"What is the difference between gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"What is the difference between i gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"What is the difference between i-gift and Sampath Thilina","igift is the digital replacement of existing paper based Sampath Thilina gift voucher. This is the first ever digital gift voucher to be introduced by a Bank in Sri Lanka.","igift_QnA_22062018.xlsx"
"Do I have to activate my Sampath Credit Card once I receive it?","Yes. Upon receiving your Credit Card, you must activate it. ","19062018_TonalityChangesDone.xlsx"
"Do I have to activate my Sampath Credit Card once I receive it? How can I activate?","Yes. You have to call our 24 X 7 Customer Care Centre via 0112300604 for the activation and also you can submit us the signed acknowledgment for the activation. Vishwa customers can send a mail to Manager Card Centre to activate the Credit Card.","19062018_TonalityChangesDone.xlsx"
"i want to activate my credit card","Yes. You have to call our 24 X 7 Customer Care Centre via 0112300604 for the activation and also you can submit us the signed acknowledgment for the activation. Vishwa customers can send a mail to Manager Card Centre to activate the Credit Card.","19062018_TonalityChangesDone.xlsx"
"Do I have to inform the Bank in advance if need to use the card overseas?","This isn't a mandatory requirement. However, Sampath Bank recommends that you always inform the bank of travel plans. This will aid Sampath Bank to keep track of your overseas withdrawals to minimize fraud risk. ","19062018_TonalityChangesDone.xlsx"
"Do I have to pay for email account statement","No. e-mail statements are issued free of charge.","19062018_TonalityChangesDone.xlsx"
"Do I have to pay for the e-mail account statements?","No. e-mail statements are issued free of charge.","19062018_TonalityChangesDone.xlsx"
"Do I have to pay for the balance confirmation letters?","Yes. Please note that charges may vary depending on the purpose and the information.","19062018_TonalityChangesDone.xlsx"
"Do I pay for balance confirmation letter","Yes. Please note that charges may vary depending on the purpose and the information.","19062018_TonalityChangesDone.xlsx"
"Do I have to pay for the regular monthly account statements?","No. Charges may applicable only for additional statements.","19062018_TonalityChangesDone.xlsx"
"do i need the password in gift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"do i need the password in igift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"for what should i use password in gift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"For what should I use password in igift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"purpose of the password in gift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"should i use password in gift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"should i use password in igift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"when do i need the password in gift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"When do I need the password in igift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"purpose of the password in igift","Password will be required every time an igift is being sent or redeemed","igift_QnA_22062018.xlsx"
"Do I need to check the security of the site","We suggest being vigilant when entering personal financial information online. Always double check the site�s security credentials. Make sure you are on a secure form, and exercise caution on sites you are unfamiliar with. ","19062018_TonalityChangesDone.xlsx"
"Do I need to submit any additional document to obtain a supplementary card?","Yes, please provide Sampath Bank with the Marriage Certificate in the case of a Spouse or Birth Certificate in the case of a Child. ","19062018_TonalityChangesDone.xlsx"
"Do I need to submit any additional documents to obtain a supplementary card?","Yes. Supplementary cards are issued to spoues and/or children of card holders. Therefore, documentary proof is required.","19062018_TonalityChangesDone.xlsx"
"Do I need to visit the branch to initiate a fund transfer?","That isn't necessary. You could request through Sampath Vishwa internet banking facility. Please note, that a pre-subscription is required.","19062018_TonalityChangesDone.xlsx"
"Do you charge for a duplicate passbook?","Yes. Please note that charges may be applied.","19062018_TonalityChangesDone.xlsx"
"Do you have international business representatives?","Yes, we do. Please visit this link (https://www.sampath.lk/en/contact/international-reps) to learn more about our international business representatives. ","19062018_TonalityChangesDone.xlsx"
"Do you require proof of income if I obtain a credit card against a deposit?","No, it isn't necessary. ","19062018_TonalityChangesDone.xlsx"
"docs to be submitted to withdraw money from minor accounts","You need the following: National Identity Card, in which details should tally with the Birth Certificate that was produced at the time of opening the Minor Account. ","19062018_TonalityChangesDone.xlsx"
"docs to withdraw money from minor accounts","You need the following: National Identity Card, in which details should tally with the Birth Certificate that was produced at the time of opening the Minor Account. ","19062018_TonalityChangesDone.xlsx"
"documents to withdraw money from minor accounts","You need the following: National Identity Card, in which details should tally with the Birth Certificate that was produced at the time of opening the Minor Account. ","19062018_TonalityChangesDone.xlsx"
"what are required to withdraw money from minor accounts","You need the following: National Identity Card, in which details should tally with the Birth Certificate that was produced at the time of opening the Minor Account. ","19062018_TonalityChangesDone.xlsx"
"download the slip less","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"download the slipless","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"download the slip-less","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"how can i download the slipless","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"how to download the slip-less","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"Slip less download link","https://www.sampath.lk/en/personal/electronic-banking/slip-less-banking","Editorial"
"e statement registration","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"how do I register for eStatements","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"How do I register for eStatements?","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"how to register for e statements","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"register for a credit card estatement","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"registration for e statement","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"how can I get a bank statement online","You can register for e-Statements by sending the enrollment form, which can be downloaded here (https://www.sampath.lk/en/credit-card-e-statement). Please fill the downloaded form and hand it over at the nearest Sampath Bank Branch or fax the filled form to 0112 300 603, 0114 713 012","19062018_TonalityChangesDone.xlsx"
"Email address","Our email address is info@sampath.lk","19062018_TonalityChangesDone.xlsx"
"What's your email?","Our email address is info@sampath.lk","19062018_TonalityChangesDone.xlsx"
"I want email for sampath bank  ","Our email address is info@sampath.lk","19062018_TonalityChangesDone.xlsx"
"please send me the mail address of sampath bank matara ","Our email address is info@sampath.lk","19062018_TonalityChangesDone.xlsx"
"email plc","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"email please","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"Can I know the email address of sampath card center ","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"pleas sampath card center mail address","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"e-mail of your card center","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"sampath credit cards email address ","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"hi, may i know the e-mail address of sampath credit card center ","info@sampath.lk","CreditCard&GeneralQnA.xlsx"
"facility of the supplementary","Immediate family member - spouse / children","CreditCard&GeneralQnA.xlsx"
"How to withdraw funds from a joint FD","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"withdrawing money from fd","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"how to withdraw money from a fd","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"fd money withdraw from any branch","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"to uplift fixed deposit do you I need to go to branch made","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"I have opened a two month fixed deposit. I want to cancel it before the maturity. Is it possible?","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD are required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should also be presented.","19062018_TonalityChangesDone.xlsx"
"FDNY withdraw from any branch","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"fixed deposit withdrawal","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"fixed deposit withdrawal from any branch","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"how to withdraw fd's","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"how to withdraw fixed deposits?","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"sanhinda fixed deposit cancel information? ","Withdrawals could be made at the maturity as per the given operating instructions to the FD. All parties to the FD required to submit a request to withdraw funds in case of a premature withdrawal. FD certificate should be presented.","Accounta_17102017.xlsx"
"features of USTOCKTRADE","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"key features of USTOCKTRADE","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"List down the key features of USTOCKTRADE","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"main features of USTOCKTRADE","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"need to know about USTOCKTRADE features ","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"What are key features of USTOCKTRADE","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"What are key features/ benefits of ustock trade","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"what benefits do i get from ustocktrade ","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
"WHAT ARE KEY FEATURES / BENIFITS OF USTOCK TRADE? ","a) Same day trade settlements\n\n b) No stock broker\n\n c) USD 1 per trade (USD 5 monthly membership fee)\n\n d) Access through Mobile App/Web\n  \n\n e) Quick fund transfers online","Editorial"
